job_title,company_name,contract_type,niveau_etude,secteur,teletravail,experience,salaire,skills,city,department
Software Engineer H/F,Voyage Privé,CDI,,,False,,43653.0,"['scala', 'python', 'java']",Aix-en-Provence,13
Software Engineer H/F,Nickel,CDI,Bac +5,,True,1.0,43653.0,"['graphql', 'jenkins', 'jquery', 'c/c++', 'python', 'php', 'opencv', 'java', 'xamarin', 'swift', 'java', 'python', 'c#']",Charenton-le-Pont,94
Software Engineer H/F,AXA en France,CDI,Bac +5,,True,7.0,43653.0,"['docker', 'devops', 'azure', 'kubernetes', 'c#', 'python', 'git']",Suresnes,92
Software Engineer H/F,AXA en France,CDI,,,False,,40000.0,"['rest', 'kotlin', 'python', 'python']",Wasquehal,59
Software Engineer H/F,Direct assurance,CDI,Bac +5,,False,7.0,43653.0,"['docker', 'devops', 'azure', 'kubernetes', 'c#', 'python', 'git']",Suresnes,92
Software Engineer H/F,ENGIE,CDI,Bac +5,Secteur Energie • Environnement,False,,43653.0,"['aws', 'github', 'rest', 'php', 'react', 'testing', 'jira', 'typescript']",Us,95
Software Engineer H/F,ENGIE,CDI,Bac +5,Secteur Energie • Environnement,False,,43653.0,"['aws', 'github', 'rest', 'php', 'react', 'testing', 'jira', 'python', 'typescript']",Us,95
Android Software Engineer H/F,Otteo,CDI,Bac +5,Secteur informatique • ESN,True,7.0,45000.0,['android'],Lille,59
Java Software Engineer H/F,Mondial Relay,CDI,,,False,,43653.0,python,Villeneuve-d'Ascq,59
Software Engineer Mainframe H/F,AXA en France,CDI,Bac +5,,True,,43653.0,"['python', 'python', 'deep vision', 'php', 'swift']",Nanterre,92
Software Engineer .Net H/F,VAHUMANA,CDI,,,False,,61500.0,['azure'],Lyon,69
Lead Software Engineer H/F,Capgemini,CDI,Bac +5,Secteur informatique • ESN,True,1.0,43653.0,"['sql', 'python', 'express.js', 'java', 'sql', 'swift', 'kotlin']",Paris,75
Software Engineer .Net H/F,Team.is,CDI,"Bac +3, Bac +4",Secteur informatique • ESN,True,1.0,42500.0,"['.net', 'javascript', 'android', 'windows', 'angular', 'typescript', 'css', 'ios']",Toulouse,31
Senior Software Engineer H/F,Work & You,CDI,Bac +5,Services aux Entreprises,False,,45000.0,"['php', 'java', 'docker']",Bordeaux,33
Java Software Engineer H/F,Apside,CDI,Bac +5,Secteur informatique • ESN,False,1.0,43653.0,"['angular', 'rest', 'css', 'java']",Sophia-Antipolis,06
Software Engineer H/F,Relyens,CDI,,,False,,61500.0,"['docker', 'jenkins', 'rest', 'kubernetes', 'java', 'git', 'spring']",Lyon,69
Software Engineer Mbd H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,['git'],Paris,75
Software Engineer Mbd H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,['git'],Paris,75
Java Software Engineer H/F,VAHUMANA,CDI,,,False,,61500.0,"['angular', 'vuejs', 'java']",Lyon,69
Java Software Engineer H/F,EEKEM,CDI,Bac +5,Secteur informatique • ESN,True,1.0,47500.0,['java'],Biot,06
