Job Title,Company Name,Location,Contract Type,Niveau Etude,Secteur,Teletravail,Experience,Salaire,skills
Software Engineer H/F,Voyage Privé,Aix-en-Provence - 13,CDI,,,False,,,"['python', 'rest', 'c', 'esp', 'java', 'scala']"
Software Engineer H/F,Nickel,Charenton-le-Pont - 94,CDI,Bac +5,,True,Exp. 1 à 7 ans,,['c']
Software Engineer H/F,AXA en France,Suresnes - 92,CDI,Bac +5,,True,Exp. + 7 ans,40 000 - 45 000 EUR par an,"['kubernetes', 'python', 'c', 'esp', 'docker', 'spark', 'devops']"
Software Engineer H/F,AXA en France,Wasquehal - 59,CDI,,,False,,,"['c', 'code review']"
Software Engineer H/F,Direct assurance,Suresnes - 92,CDI,Bac +5,,False,Exp. + 7 ans,,"['kubernetes', 'python', 'c', 'esp', 'docker', 'spark', 'devops']"
Software Engineer H/F,ENGIE,Us - 95,CDI,Bac +5,Secteur Energie • Environnement,False,,40 000 - 45 000 EUR par an,"['unity', 'rest', 'github', 'c', 'esp', 'integration', 'diversity', 'testing', 'github', 'react', 'apps', 'computer science', 'scala']"
Software Engineer H/F,ENGIE,Us - 95,CDI,Bac +5,Secteur Energie • Environnement,False,,,"['python', 'unity', 'rest', 'github', 'c', 'esp', 'integration', 'diversity', 'testing', 'github', 'react', 'computer science', 'scala']"
Ingénieur Logiciel - Software Engineer H/F,Idemia,Courbevoie - 92,CDI,"Bac +3, Bac +4",Secteur informatique • ESN,True,Exp. 1 à 7 ans,40 000 - 80 000 EUR par an,"['python', 'android', 'rest', 'c', 'ios', 'windows', 'esp', 'java', 'docker', 'linux', 'devops']"
Android Software Engineer H/F,Otteo,Lille - 59,CDI,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,40 000 - 50 000 EUR par an,"['android', 'c', 'esp']"
Java Software Engineer H/F,Mondial Relay,Villeneuve-d'Ascq - 59,CDI,,,False,,35 000 - 45 000 EUR par an,"['c', 'esp', 'core']"
Software Engineer Mainframe H/F,AXA en France,Nanterre - 92,CDI,Bac +5,,True,,,['c']
Software Engineer .Net H/F,VAHUMANA,Lyon - 69,CDI,,,False,,45 000 - 55 000 EUR par an,"['.net', 'c']"
Lead Software Engineer H/F,Capgemini,Paris - 75,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,,"['c', 'scala']"
Software Engineer .Net H/F,Team.is,Toulouse - 31,CDI,"Bac +3, Bac +4",Secteur informatique • ESN,True,Exp. 1 à 7 ans,35 000 - 50 000 EUR par an,"['android', '.net', 'c', 'ios', 'css', 'windows', 'angular', 'esp', 'blazor', 'java', 'javascript', 'core']"
Senior Software Engineer H/F,Work & You,Bordeaux - 33,CDI,Bac +5,Services aux Entreprises,False,,40 000 - 50 000 EUR par an,"['symfony', 'c', 'php', 'esp', 'docker']"
Java Software Engineer H/F,Apside,Sophia-Antipolis - 06,CDI,Bac +5,Secteur informatique • ESN,False,Exp. 1 à 7 ans,45 000 - 55 000 EUR par an,"['rest', 'c', 'css', 'angular', 'java']"
Software Engineer H/F,Relyens,Lyon - 69,CDI,,,False,,,"['kubernetes', 'rest', 'c', 'java', 'docker', 'ada']"
Software Engineer Mbd H/F,Astek,Paris 1er - 75,CDI,Bac +5,Secteur informatique • ESN,True,,40 000 - 45 000 EUR par an,['c']
Software Engineer Mbd H/F,Astek,Paris 1er - 75,CDI,Bac +5,Secteur informatique • ESN,True,,,"['c', 'core']"
Java Software Engineer H/F,VAHUMANA,Lyon - 69,CDI,,,False,,45 000 - 55 000 EUR par an,"['c', 'angular', 'java']"
Java Software Engineer H/F,EEKEM,Biot - 06,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,40 000 - 55 000 EUR par an,"['c', 'java', 'ada', 'scala']"
C++ Software Engineer H/F,EEKEM,Biot - 06,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,40 000 - 50 000 EUR par an,"['c', 'ada', 'scala']"
Senior Software Engineer H/F,ENGIE,Us - 95,CDI,Bac +5,Secteur Energie • Environnement,False,,,"['python', 'unity', 'rest', 'github', 'graphql', 'c', 'esp', 'integration', 'diversity', 'testing', 'github', 'react', 'big data', 'node.js', 'computer science', 'scala']"
